rfi_number,project,trade,co_amount,current_score,applicability,actionability,root_cause_clarity,specific_action,summary,flag,question_text
RFI-54,CoreSite Data Center,"architectural, electrical",15807369.0,4,broad,high,clear,"Implement a more rigorous clash detection process during the design phase, including detailed review",The clash between the proposed furred wall and existing conduits led to a costly change order due to,,"There is a furred wall at Storage 235 intended to hide the existing bus duct and multiple existing conduit risers. However, the current dimensions of the furred wall clash with these existing conduits. Reference Newforma Issues 114, 134. For the wall segment running E-W (highlighted in blue on the a"
RFI-52,CoreSite Data Center,electrical,13229900.0,4,broad,high,clear,Implement a more rigorous design review process that includes clash detection and coordination meeti,"The RFI revealed a significant coordination failure in the design of light fixtures, resulting in a ",,"CYCLE 1: 6/24/25: Per 6/18 DPR/Design Teams breakout call, F05 light fixtures in Corridor 260 and 260A are to be swapped to F04 lights. See referenced markup for new proposed light fixture layout. -- F05 light fixtures in Corridor 260 and Corridor 262 at location and elevation provided in Electrical"
RFI-43,CoreSite Data Center,mechanical,5753119.0,4,broad,high,clear,"Implement a more rigorous review process for design changes that involve mechanical installations, e",The relocation of the air separator due to design changes led to a costly change order due to poor c,,Cycle 1 - 7/22/25: The updated reference markup was changed to move the air separator equipment further plan-south to avoid obstructions with phase 4 installations at the mechanical yard per design team request on 7/11. This air separator equipment location was provided to the design team on 7/16 vi
RFI-21,Intuitive Surgical MOB,electrical,4058394.0,4,broad,high,clear,Implement a standardized review process for electrical layouts against furniture plans during the de,The RFI revealed a costly coordination failure between electrical device layouts and furniture place,,"Please verify device layout as represented on the electrical drawings will be acceptable to scale for installation and that furniture will match as represented on the permit drawings. If not, please provide dimensioned layout for devices at preferred installation location."
RFI-78.1,CoreSite Data Center,security,2994765.0,4,broad,high,clear,Implement a more rigorous design review process that includes all relevant stakeholders to ensure cl,"The RFI revealed a significant oversight in the design review process, leading to a costly change or",,The CCTV and access control rough-in plans developed by CEI and submitted to PSG/CoreSite review per RFI 78 as not accepted. CoreSite has since shared an updated rough-in plan. See the referenced attachment for CoreSite's rough-in plan with CEI comments for PSG/CoreSite confirmation. Suggested answe
RFI-125,CoreSite Data Center,"electrical, architectural",2988703.0,4,broad,high,clear,Implement a more rigorous review process for clearance requirements during the design phase to ensur,"The costly issue arose from inadequate design considerations for RPP clearance requirements, leading",,"1) As discussed with CoreSite, 8/20/2025, please confirm we are to proceed with splitting the RPPs at 4MW (415V) and 5MW (208V). This would give us 80 (208V) RPPs, and 32 (415V) RPPs 2) Provide a markup of the attached RPP layout to show what RPPs are to be removed, and which ones will change to 415"
RFI-140,CoreSite Data Center,electrical,2988703.0,4,broad,high,clear,Implement a standardized checklist for door hardware power requirements during the design phase.,The lack of clarity in door hardware power requirements led to a costly change order due to coordina,,"CEI is requesting clarification regarding the door hardware power requirements. Specifically, we need a confirmed list of all door numbers that will require line voltage power supplied above the door header to accommodate the specified hardware. Suggested answer Please confirm which doors are to rec"
RFI-76,CoreSite Data Center,drywall,1219303.0,5,,high,,Ensure all wall terminations comply with fire rating requirements and update construction details ac,The RFI highlights a critical fire safety compliance issue that requires immediate attention to prev,,"Per 7/7 Workshop, DPR requested a termination detail for the East end of UPS Room walls running E-W. Corgan confirmed that these walls will need to run to interior face of exterior walls to maintain required fire rating instead of terminating at existing drywall. This includes wall separating UPS Ro"
RFI-48,CoreSite Data Center,,1219303.0,4,broad,high,clear,Implement a thorough review process for plumbing and mechanical systems during the design phase to e,The need for a furred wall to cover exposed roof drainage pipes resulted from inadequate design coor,,"There are existing roof drainage pipes protruding through the wall into office 240, see referenced Newforma Issue #185 for reference. Per 6/12 BIM call, Corgan's direction is to implement a furred wall to cover the exposed plumbing as tight to the pipes as possible. Suggested answer Corgan, please c"
RFI-0618,Southline Office,,687762.0,4,broad,high,clear,Implement a thorough review process for scope definitions and interstitial requirements during the d,"The RFI resulted from unclear scope definitions regarding vapor mitigation, leading to a costly chan",,"Reference: VM1.02, VM 1.03, A2.01S Q1: Please confirm that the ""Second Stage"" is defined as area in yellow shown on VM1.03, as there is interstitial fill through the entirety of the SOG. Q2: Please confirm that the Vapor Barrier that is part of the ""Second Stage"" is to be installed as part of the Te"
RFI-0968,Southline Office,,510169.0,4,broad,high,clear,Implement a comprehensive review process for architectural and structural plans during the design ph,"The RFI revealed critical discrepancies between architectural and structural plans, leading to a cos",,"Reference: A2.07, A2.07S, A8.11 Detail 14, A4.04 Detail 2, RFI 0712 Q1: The north penthouse curb and framing are not aligning due to architectural and slab plan discrepancies. Where the framing extends 5"" off of the interior curb, please confirm it is acceptable to demo this curb and pour it in the "
RFI-0672,Southline Office,curtainwall,494778.0,4,broad,high,clear,Implement a standardized review process for design documents that includes cross-discipline checks f,The RFI regarding the bird frit treatment on exterior glazing resulted in a costly change order due ,,"Ref: ASK-500 Per previous coordination, please confirm the attached documents clarify the extent of the bird frit treatment on the exterior glazing for B1."
RFI-1651.2,Southline Office,"architectural, civil_site, landscaping",474694.0,4,broad,high,clear,Implement a review process for all custom components and materials during the design phase to ensure,"The RFI revealed critical issues with non-standard components that void warranties, leading to a cos",,"REF: Site - Offsite Current Set: L1.10, S0.01 POST TO: Site - Offsite Current Set: L1.10, S0.01 Please review the attached file. 1) RFI 1651.1 for Omega 2 Fence shows 1.75x1.75"" 'rub bars' installed along length of fence above block wall. These are not standard parts and modification of the fence wi"
RFI-1651,Southline Office,"architectural, landscaping, structural",474694.0,4,broad,high,clear,Implement a more rigorous cross-discipline review process during the design phase to ensure all trad,The RFI highlights a costly coordination failure between trades that resulted in a significant chang,,"REF: Site - Offsite Current Set: L1.10, 6/S0.01, 7/S0.01 POST TO: Site - Offsite Current Set: L1.10, 6/S0.01, 7/S0.01 Please review the attached file and provide responses to Items 1 and 2 per BrightView's RFI #019."
