category,query_ref,query_project,query_text,candidate_ref,candidate_project,candidate_text,candidate_resolution,llm_reasoning,your_label,your_notes
highly_relevant,RFI-0920.1,Southline Office,PSD L2 PT Deck FP Penetrations,RFI-0920,Southline Office,"Ref: FP1.02.W, FP1.02E (FP Deck Sleeve Plan) Post: S2.02A, S2.03A, S2.04A, S2.05A, S2.06A (PSD SI-04 R1 dated 07/14/23, post on empty space) Please confirm that the penetrations (clouded in red) on the PT deck at L2 to L5 for fire sprinkler standpipes are acceptable.",Please see attached.,"The historical issue directly addresses fire protection penetrations on the same PT deck, and the resolution could provide guidance for the new observation regarding similar penetrations.",,
highly_relevant,RFI-2046,Southline Office,"PSD Tier 1 Elevator Lobby Trench Drain Confirmation 01 Mark up PSD Tier 1 Lobby Pictures Site Drawing C4.2 At the elevator lobby on Tier 1, it was noticed that during heavy rain and wind events, water starts to accumulate under the sta",RFI-2046.1,Southline Office,"At the elevator lobby on Tier 1, it was noticed that during heavy rain and wind events, water starts to accumulate under the stair landings, traveling through the North access of the tower. With the high wind forces, the water starts to flow towards the elevator fronts. This causes the water to start flowing into the elevator pits. All the slopes have been installed per the drawings and verified in the field, per heat map included in RFI attachment. Per meeting on 3.14 with DES, Broadway, DPR, and PMA, it is proposed to install a trench drain parallel with the elevator fronts (see attached markup) with perpendicular legs at either end. Drain would feed back into the hub drain located at the fire riser. This method aligns with the walk with ownership on 3.4.25. 1. DES - Please confirm extent of drain shown in the attached markup is acceptable. If not, please define desired extents. 2. DES - Please confirm the trench drain product attached is acceptable. Please confirm grate finish selec","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","The historical issue describes a similar problem of water accumulation at the elevator lobby during heavy rain, and the proposed solution of installing a trench drain directly addresses the new observation.",,
highly_relevant,RFI-0339,Southline Office,"Ref: E0.02, E1.02, Submittal 1478-265100-1 SITE - Light Fixture (Product Data) Linear Fixtures E13 are shown in lengths in sections as small as 6"". However, the smallest increment the Targetti ""Mini Mercure"" comes in is 2'. Please adjust all E13' lengths to fit within 2' increments or select another fixture.",RFI-0339,Southline Office,"Ref: E0.02, E1.02, Submittal 1478-265100-1 SITE - Light Fixture (Product Data) Linear Fixtures E13 are shown in lengths in sections as small as 6"". However, the smallest increment the Targetti ""Mini Mercure"" comes in is 2'. Please adjust all E13' lengths to fit within 2' increments or select another fixture.","Please see attached
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Apr 24, 2023, 1:44 PM PDT","The new field observation and the historical issue are identical in content, indicating that the resolution from the historical issue would directly address the same problem regarding the light fixture lengths.",,
highly_relevant,RFI-0082,Southline Office,"Ref: P4.00A B1 UG Plumbing Sleeves Drawing This is confirming RFI. Please confirm that the UG sleeves for B1 are acceptable. Note that the elevation are taken from project 0'-0"".",RFI-0082,Southline Office,"Ref: P4.00A B1 UG Plumbing Sleeves Drawing This is confirming RFI. Please confirm that the UG sleeves for B1 are acceptable. Note that the elevation are taken from project 0'-0"".","Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Nov 2, 2022, 5:40 PM PDT
•
•
References
Files (2)
Southline B1 Transmittal 002.A (UG Sleeves for Approval).pdf
SLP1 - RFI-0082 - B1 UG Plumbing Sleeves Layout_DESstruc_resp.pdf","The new field observation and the historical RFI are identical in content, indicating that the same issue regarding the UG plumbing sleeves is being addressed, and the resolution from the historical issue would directly apply to the new observation.",,
highly_relevant,RFI-0259.1,Southline Office,"Ref: M0.02, M2.01, M2.03, M2.05 (PSD PCR #2 dated 01.24.23), Cut Sheet for Aspen Daikin Condensate Pump This is a revision to RFI0259. The added pump at Fire Pump Room 112 is no longer required as the FCU has been moved to the north wall and placed at a higher elevation. Beside, we would like to use Aspen Daikin Condensate Pump which works better than the Little Giant Pump as it can be wired directly to FCU. Please confirm that this change is acceptable.",RFI-0259,Southline Office,"Ref: M0.02, M2.01, M2.03, M2.05, P2.01, P2.03, P2.05 (PSD PCR #2 dated 01.24.23), Cut Sheet for Little Giant Pump The allowable penetration of the beam for condensate line is at the center of the beam. Therefore, it will place the condensate line higher than the FCU and a little giant pump needs to be added to provide sufficient water pressure for the condensate line to discharge the condensate. Moreover, a dedicated power outlet needs to be provided for each little giant pump. Please confirm that this change is acceptable.","Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Mar 8, 2023, 4:49 PM PST
•
References
Files (1)
SLP1 - RFI-0259 - PSD Add Pump for FCU.pdf","The new observation directly addresses the need for a condensate pump in the same context as the historical issue, with the resolution regarding the Little Giant Pump being replaced by the Aspen Daikin Condensate Pump, indicating a fundamental change in the same system.",,
highly_relevant,RFI-0139,Southline Office,B1 L6 Beam Penetration for Plumbing,RFI-0139.2,Southline Office,B1 L6 Beam Penetration for Plumbing (Final),,"The historical issue directly addresses the same beam penetration for plumbing, indicating that the resolution would be applicable to the new observation.",,
highly_relevant,RFI-2046,Southline Office,"PSD Tier 1 Elevator Lobby Trench Drain Confirmation 01 Mark up PSD Tier 1 Lobby Pictures Site Drawing C4.2 At the elevator lobby on Tier 1, it was noticed that during heavy rain and wind events, water starts to accumulate under the sta",RFI-2046.1,Southline Office,"At the elevator lobby on Tier 1, it was noticed that during heavy rain and wind events, water starts to accumulate under the stair landings, traveling through the North access of the tower. With the high wind forces, the water starts to flow towards the elevator fronts. This causes the water to start flowing into the elevator pits. All the slopes have been installed per the drawings and verified in the field, per heat map included in RFI attachment. Per meeting on 3.14 with DES, Broadway, DPR, and PMA, it is proposed to install a trench drain parallel with the elevator fronts (see attached markup) with perpendicular legs at either end. Drain would feed back into the hub drain located at the fire riser. This method aligns with the walk with ownership on 3.4.25. 1. DES - Please confirm extent of drain shown in the attached markup is acceptable. If not, please define desired extents. 2. DES - Please confirm the trench drain product attached is acceptable. Please confirm grate finish selec","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","The historical issue describes a similar problem of water accumulation at the elevator lobby during heavy rain, and the proposed solution of installing a trench drain directly addresses the new observation.",,
highly_relevant,RFI-1636.2,Southline Office,Confirming RFI per updated correspondence between DPR and South San Francisco Fire Department. Please see attached email exchange.,RFI-1636,Southline Office,"Confirming RFI per correspondence between DPR and South San Francisco Fire Department, the fire marshal indicated that knox boxes shall be 4-6ft above finished grade. Please see attached email exchange.","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","Both RFIs pertain to fire protection and involve correspondence with the South San Francisco Fire Department, indicating they are addressing similar regulatory concerns regarding fire safety requirements.",,
highly_relevant,RFI-1628.2,Southline Office,"Ref: RFI 1628, RFI 1628.1, TC2.01, QF301 The requested additional data drops needed for the restaurant will require additional conduit pathways for the added data cabling. 1) Please confirm it is acceptable to add (1) 2"" conduit overhead in Office 126 as shown on the attached drawing markup to go from data rack in office and stub out to overhead space in cold storage room. Please note the 2"" conduit will be surface mounted on the south wall to get down to data rack. 2) Please confirm it is acceptable to rework the existing 1 1/2"" conduit for the data cabling in Office 126 to stub out over cold storage as opposed to stubbing out to Vestibule. 3) Please confirm it is acceptable to utilize a 1"" spare conduit that is stubbing up into the millwork island in the Severy to feed the added (2) 2x CAT6 data drops. The spare conduit pathway goes underground and stubs up in north wall of the Kitchen and then stubs out into overhead space of kitchen. Please note these 4 added cables will fill the c",RFI-1628.2,Southline Office,"Ref: RFI 1628, RFI 1628.1, TC2.01, QF301 The requested additional data drops needed for the restaurant will require additional conduit pathways for the added data cabling. 1) Please confirm it is acceptable to add (1) 2"" conduit overhead in Office 126 as shown on the attached drawing markup to go from data rack in office and stub out to overhead space in cold storage room. Please note the 2"" conduit will be surface mounted on the south wall to get down to data rack. 2) Please confirm it is acceptable to rework the existing 1 1/2"" conduit for the data cabling in Office 126 to stub out over cold storage as opposed to stubbing out to Vestibule. 3) Please confirm it is acceptable to utilize a 1"" spare conduit that is stubbing up into the millwork island in the Severy to feed the added (2) 2x CAT6 data drops. The spare conduit pathway goes underground and stubs up in north wall of the Kitchen and then stubs out into overhead space of kitchen. Please note these 4 added cables will fill the c",,"The new field observation and the historical issue are identical, addressing the same requests for conduit pathways and data cabling in the same project context, making the resolution directly applicable.",,
highly_relevant,ISSUE-23,Abbott Alameda Office TI,Need to finish T-bar grid install Drawing: A2.2.2 (2ND FLOOR - REFLECTED CEILING PLAN),ISSUE-53,Abbott Alameda Office TI,Need to fix and finish installation of ACT Grid per approved DFOW. Drawing: A2.2.2 (2ND FLOOR - REFLECTED CEILING PLAN),,"Both issues pertain to the installation of the T-bar grid and ACT grid on the same drawing, indicating they are fundamentally similar problems, and the resolution from the historical issue would directly assist in addressing the new observation.",,
somewhat_relevant,RFI-1452,Southline Office,"REF: Site - Onsite Current Set PSD-E8.01 , Detail #7 POST: Site - Onsite Current Set PSD-E8.01, Detail #7 Please review the attached file. Detail 7/PSD-E8.01 shows a cylindrical concrete base at a height of 24"" for vehicular area light poles. However, no detail is specified for light poles E1 and E3 in pedestrian or landscape areas. Please confirm if the E1 and E3 poles are to match detail 7/PSD-E8.01, and if not, please provide a detail.",RFI-0867,Southline Office,Onsite - Concrete Seatwall with Linear Light Detail,Please see attached.,"While both RFIs involve lighting details and concrete elements, the historical issue pertains specifically to a concrete seatwall with linear light detail, which may not directly address the specific concerns regarding the light poles E1 and E3 in the new observation.",,
