task_id,query_ref,query_text,query_project,query_trade,candidate_id,candidate_ref,candidate_text,candidate_project,candidate_trade,candidate_resolution,relevance,reasoning
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,9c0e6b04-ceb2-45f7-b81a-ad34f639b6ee,RFI-1392,PSD Tier 1 CMU Dowels Remediation on GD Line Confirmation 01 Email Correspondence between GPLA and DPR Concrete Background: Some of the perimeter CMU dowels on Tier 1 GD between G1 and G5 shifted duri,Southline Office,,"Julia Morini (DES Architects & Engineers, Inc. - 10012655): please see attached.",somewhat_relevant,"While both issues involve dowels and concrete work, the specific circumstances and resolutions differ, suggesting that some lessons might apply but the resolution may not directly address the new observation."
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,3ed2eef5-ebd7-403b-b4ac-b4cc7d1985b0,RFI-1769,"B2 Trench Drain Waterproofing Details 01, A4.01, A9.40, Submittal 4086 B2 Floor Drains Question: Currently our trench drains do not have a clamp ring as shown at the circular drain locations in detail",Southline Office,architectural,"Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.",not_relevant,"The new observation regarding drill and epoxy speed dowels at a foundation level does not relate to the trench drain waterproofing details discussed in the historical issue, as they address different construction elements and concerns."
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,bed53bd1-6192-4202-98a2-575c0b940973,RFI-1471,REF: Site - Onsite Current Set: L8.01 POST TO: Site - Onsite Current Set: L8.01 Detail 10/L8.01 provides a detail of the concrete paving at the building doors and detail 5A/L8.01 provides a detail for,Southline Office,,"Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached",not_relevant,"The new observation pertains to drilling and epoxy speed dowels, while the historical issue focuses on concrete paving details, indicating fundamentally different construction concerns."
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,e45041f2-c44c-4796-8d83-404cc8614a3f,RFI-0952,The rebar dowels at the ends of the spandrel are in the way of the column forms. Please confirm it is acceptable to change the end dowels for an L bar within the spandrel. See attachment for reference,Southline Office,concrete,Please see attached.,somewhat_relevant,"While both issues involve dowels in concrete work, the specific context and resolution of the historical issue do not directly address the drilling and epoxy application mentioned in the new observation."
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,48420873-5fea-4cad-a2de-eb5e6f2d407f,RFI-221,Current architectural drawings (Sheets PK2-A2.1.1A (Level 1 Floor Plan Sector A) and PK2-A2.1.1B (Level 1 Floor Plan Sector B) show knox box to be provided at stair 1 and stair 2 exterior (sheet note:,Silicon Valley Office,,"Jordan Koop (SmithGroup, Inc - 10017650): DPR Team,
Please see the updated response attached 'RFI 02",not_relevant,"The new observation regarding drilling and epoxy speed dowels at the foundation does not relate to the historical issue about knox box locations, as they address different construction elements and concerns."
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,aa9e2c60-7967-4183-b739-ef23fbc859da,RFI-95,"What material should be implemented as a buffer between the new slab and the existing East wall?
Can the existing East wall support the loading imposed by the new concrete slab?",CoreSite Data Center,"architectural, structural","Daniel Showalter (Peoples Associates Structural Engineers, Inc. - 10040833): PASE Response:
1. Pleas",somewhat_relevant,"While the historical issue addresses structural concerns related to a slab and wall interaction, it does not directly relate to the specific task of drilling and epoxying dowels at a foundation level, but some lessons about structural integrity may apply."
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,8ee5f07e-c049-41e1-beba-e65716c7ce16,RFI-0097,B1 L1 Mechanical Shaft Modifications,Southline Office,"mechanical, architectural","Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Nov 10, 2022, 12:4",not_relevant,"The new observation regarding drilling and epoxy speed dowels at a foundation level does not relate to the mechanical shaft modifications discussed in the historical issue, indicating different construction concerns."
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,c14f4711-cf21-4a81-a5de-979bce342aad,RFI-2041,"REF: Site - Offsite Current Set: L1.30, L1.40, 7/L8.10 POST TO: Site - Offsite Current Set: L1.30, L1.40 A redwood header is shown to be installed adjacent to the planting areas north of Southline Ave",Southline Office,"architectural, landscaping","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.",not_relevant,"The new observation pertains to drilling and epoxy speed dowels for a foundation, while the historical issue involves the installation of a redwood header and landscaping decisions, indicating fundamentally different construction concerns."
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,e8811519-3dc3-49e0-988a-beb33550347a,RFI-0606,"B2 Stripping Wall Forms Referenced Documents: S0.2 section 9.D.3 Section 9.D.3/S0.2 states that wall forms are not to be stripped before 72 hours. For scheduling purposes, please confirm it is accepta",Southline Office,concrete,"Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Jun 14, 2023, 2:32",not_relevant,"The new observation pertains to drilling and epoxy speed dowels, while the historical issue focuses on the timing of stripping wall forms, making them fundamentally different issues with no useful connection."
task_b1d1bfbb,RFI-45,Drill and Epoxy Speed Dowels at GL-M Foundation,Silicon Valley Office,,601f7b9e-cf33-4e73-84aa-38ef76072aaa,RFI-309,Interior Pod Wall Framing clarification,Silicon Valley Office,,"Ranjitha Manohar (GPLA Structural Engineers): Yes, the proposed size of the drilled hole (7/8"" diame",not_relevant,"The historical issue pertains to wall framing clarification, while the new observation involves drilling and epoxy dowels, indicating fundamentally different construction concerns."
task_7d0c285e,RFI-0137,"is acceptable, then at the marked locations, the said bolt spacing will not work due to different W-column profiles and orientations. Therefore, we proceed with the parameters as shown in model snippe",Southline Office,,d3cba0d0-3a8a-41b0-b7c6-5ee1c02bb2de,RFI-0534,"The detail for the 2'-0"" Thick Concrete Beam requires a Galv. Embed Plate 1/2""X12X12, with (2) L6X4X3/8(LLV) welded to it for the top connection of CMU Wall under the concrete beam. However, the given",Southline Office,structural,"Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Jun 7, 2023, 8:39 ",somewhat_relevant,"While both issues involve structural connections and require confirmation on details, they pertain to different components and specific resolutions, making them related but not directly applicable to each other."
task_7d0c285e,RFI-0137,"is acceptable, then at the marked locations, the said bolt spacing will not work due to different W-column profiles and orientations. Therefore, we proceed with the parameters as shown in model snippe",Southline Office,,14db5385-1fd8-4d20-afb6-3d54e0df1eec,RFI-0578,"D1 wall will not bypass column, at corner is it acceptable to terminate rating into fireproofed column and continue drywall around column as a non-rated furring wall? Q2 - There are knife plates that ",Southline Office,"architectural, structural","Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Jun 8, 2023, 2:22 ",somewhat_relevant,"While both issues involve mechanical shafts and structural elements, the specific concerns regarding bolt spacing and connection details in the new observation differ from the firestopping and wall termination issues in the historical RFI, suggesting some related lessons but not a direct application of the resolution."
task_7d0c285e,RFI-0137,"is acceptable, then at the marked locations, the said bolt spacing will not work due to different W-column profiles and orientations. Therefore, we proceed with the parameters as shown in model snippe",Southline Office,,3d51e349-61c7-462e-884d-f977ce336235,RFI-40,"On 5/30 site walk with DPR, CEI, and SVM, a SVP utility pull box was identified underneath the proposed installation location of P3 MCP-05 and partially under existing MCP-04. This pull box was not sh",CoreSite Data Center,,Dave Allen: This pull box was for temporary feeders until the substation was energized. SVP will con,not_relevant,
task_7d0c285e,RFI-0137,"is acceptable, then at the marked locations, the said bolt spacing will not work due to different W-column profiles and orientations. Therefore, we proceed with the parameters as shown in model snippe",Southline Office,,324d0ed1-75ca-433e-abd8-fc3d8188f8fc,RFI-1454,"REF: Site - Onsite Current Set: L8.02 POST TO: Site - Onsite Current Set: L8.02 Please reference detail 2/L8.02 and 5/L8.02 on the Site Permit PCR #3. Per DPR/DES meeting on 03/01/24, please confirm t",Southline Office,"architectural, concrete, landscaping","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.",not_relevant,"The new observation pertains to bolt spacing and connection details for structural elements, while the historical issue focuses on handrail installation and constructability concerns, indicating fundamentally different problems."
task_7d0c285e,RFI-0137,"is acceptable, then at the marked locations, the said bolt spacing will not work due to different W-column profiles and orientations. Therefore, we proceed with the parameters as shown in model snippe",Southline Office,,e0ca6a75-9d5c-43c0-98e0-864a03ac1f81,RFI-138,There are door hardware requirement discrepancies between the phase 3 security drawings issued by PSG and the current Architectural drawings. See referenced attachment for latest security drawing issu,CoreSite Data Center,"security, architectural",steven holt: Door hardware is not in the security Scope of Work. Please have the door company verify,not_relevant,"The new observation pertains to structural bolt spacing and connection details, while the historical issue focuses on discrepancies in door hardware requirements, making them fundamentally different issues with no useful connection."
task_7d0c285e,RFI-0137,"is acceptable, then at the marked locations, the said bolt spacing will not work due to different W-column profiles and orientations. Therefore, we proceed with the parameters as shown in model snippe",Southline Office,,b7a72d9e-3941-42c5-8414-0afb4e044488,RFI-16,Conflict at GL-6&C Column Extension,Silicon Valley Office,structural,Jason Hsia (GPLA Structural Engineers): It is acceptable to notch the existing beam as required for ,somewhat_relevant,"While both issues involve structural elements and require adjustments to connections, the specific contexts and resolutions differ, making the historical issue potentially informative but not directly applicable."
task_7d0c285e,RFI-0137,"is acceptable, then at the marked locations, the said bolt spacing will not work due to different W-column profiles and orientations. Therefore, we proceed with the parameters as shown in model snippe",Southline Office,,006c5932-d0d9-4f82-a9a0-75e677df98e5,RFI-1526,B2 HSS East Screenwall Post Conflict with Opening Angle 02 Question: There are currently two (2) HSS Posts for the East Screenwall assembly located inside the CFS wing wall on GL 14 which have basepla,Southline Office,"architectural, structural","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.",not_relevant,"The historical issue pertains to a conflict with baseplates and angles in a specific assembly, while the new observation addresses bolt spacing and connection call-outs, indicating fundamentally different problems."
task_7d0c285e,RFI-0137,"is acceptable, then at the marked locations, the said bolt spacing will not work due to different W-column profiles and orientations. Therefore, we proceed with the parameters as shown in model snippe",Southline Office,,8a19ba9b-dfea-4c0b-bbd8-0c112157d2d4,RFI-0281,"Ref: TC4.00 (B1 PCR#2, dated 01.10.23); TC4.00 (PSD PCR#2 dated 01.24.23); Zetaframe Cabinet Product Data (3605-270000-1 B1 PSD Telecom Material) 1. Ref B1 TC4.00: Current MPOE/MDF design at Building ",Southline Office,,"Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Mar 14, 2023, 9:22",not_relevant,"The new observation pertains to bolt spacing and connection details for structural elements, while the historical issue focuses on cabinet depth for telecom equipment, indicating fundamentally different problems with no useful connection."
task_7d0c285e,RFI-0137,"is acceptable, then at the marked locations, the said bolt spacing will not work due to different W-column profiles and orientations. Therefore, we proceed with the parameters as shown in model snippe",Southline Office,,500c0666-20ad-46d1-a143-6a224f3a15a7,RFI-1774.1,B1 - Electric Closer for First Floor Exterior Stairwell Doors Confirmation_R1 1 B1 - Electric Closer for First Floor Exterior Stairwell Doors Confirmation_R1 Reference: SLP1 - RFI 1774.1 - B1 - Electr,Southline Office,,"Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.",not_relevant,"The historical issue pertains to electric closers for doors, which is unrelated to the structural concerns and bolt spacing issues described in the new observation."
